consensus,batch,tps,orderer_count,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,4,peer,2,3.835,176.5,226.4,82.2,60,23.533333333333335,30.186666666666667
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,5,ca,3,0.0,0.002163,0.0,0.0,60,0.0002884,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,5,chaincode,2,1.025,18.70467,20.50395,0.0,60,2.493956,2.73386
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,5,couchdb,2,3.385,15.42,18.82,33.0,60,2.056,2.509333333333333
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,2.1475,278.9,205.56,292.4,60,37.18666666666666,27.408
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,5,peer,2,3.5,176.5,227.38,82.4,60,23.533333333333335,30.317333333333334
SmartBFT,100,100,4,submitEvidence,SUBMIT,1,ca,3,0.0,0.0017820000000000002,0.0,0.0,60,0.00023760000000000003,0.0
SmartBFT,100,100,4,submitEvidence,SUBMIT,1,chaincode,2,1.145,31.00467,23.104010000000002,0.0,60,4.133956,3.080534666666667
SmartBFT,100,100,4,submitEvidence,SUBMIT,1,couchdb,2,3.7750000000000004,27.5,11.17,40.8,60,3.6666666666666665,1.4893333333333334
SmartBFT,100,100,4,submitEvidence,SUBMIT,1,orderer,4,2.19,363.0,270.3,370.4,60,48.4,36.04
SmartBFT,100,100,4,submitEvidence,SUBMIT,1,peer,2,3.78,209.0,299.9,98.6,60,27.866666666666667,39.986666666666665
SmartBFT,100,100,4,submitEvidence,SUBMIT,2,ca,3,0.0,0.0038900000000000002,0.0,0.0,60,0.0005186666666666667,0.0
SmartBFT,100,100,4,submitEvidence,SUBMIT,2,chaincode,2,1.23,31.105050000000002,23.103740000000002,0.0,60,4.147340000000001,3.0804986666666667
SmartBFT,100,100,4,submitEvidence,SUBMIT,2,couchdb,2,3.8499999999999996,27.4,11.16,40.6,60,3.6533333333333333,1.488
SmartBFT,100,100,4,submitEvidence,SUBMIT,2,orderer,4,2.6275,365.8,273.3,370.0,60,48.77333333333333,36.440000000000005
SmartBFT,100,100,4,submitEvidence,SUBMIT,2,peer,2,3.7800000000000002,209.0,299.9,98.4,60,27.866666666666667,39.986666666666665
SmartBFT,100,100,4,submitEvidence,SUBMIT,3,ca,3,0.0,0.002502,0.0,0.0,60,0.0003336,0.0
SmartBFT,100,100,4,submitEvidence,SUBMIT,3,chaincode,2,1.255,31.104560000000003,23.103720000000003,0.0,60,4.147274666666667,3.0804960000000006
