scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s,succ,fail,throughput_tps,orderer_cpu_avg_per_tps,orderer_cpu_cluster_per_tps,orderer_mb_total_sum,orderer_mb_total_per_tx,orderer_mb_in_per_tx,orderer_mb_out_per_tx,orderer_bw_total_mbps,orderer_in_out_ratio
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,1.05,2.05,180.25,195.0,354.0,427.7,596.0,0.0,62.591240875912405,45.245947521865894,54.66579591836735,9.522099125364432,12005,0,191.8,0.005474452554744526,0.021897810218978103,781.7,0.06511453561016244,0.02948771345272803,0.0356268221574344,99.91174344023324,0.8276829553425298
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.9875,2.16,181.0,195.0,354.1,427.4,596.0,0.0,63.878529568460316,44.346668890742286,53.52659216013343,9.33020850708924,11990,0,187.7,0.005261054874800213,0.021044219499200854,781.5,0.06517931609674729,0.029532944120100085,0.035646371976647204,97.87326105087573,0.8284978942442679
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,1.005,2.06,183.0,197.0,354.0,427.4,596.0,0.0,64.33547695605574,44.019258642232394,53.1464156601416,9.263940024989587,12005,0,186.6,0.005385852090032154,0.021543408360128614,781.4,0.06508954602249063,0.02948771345272803,0.0356018325697626,97.16567430237399,0.8282639213851193
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,1.0474999999999999,2.0,180.0,205.0,353.4,426.5,596.0,0.0,67.50845546786923,41.87919839679358,50.54181696726786,8.828523714094857,11976,0,177.4,0.005904735062006764,0.023618940248027055,779.9,0.06512191048764195,0.029509018036072143,0.03561289245156981,92.42101536406145,0.8286049237983587
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.9675,2.08,180.0,193.0,354.7,428.29999999999995,600.0,0.0,66.4360819037078,42.71173011245315,51.574384006663884,9.031236984589755,12005,0,180.7,0.005354178195904815,0.02141671278361926,783.0,0.06522282382340691,0.029546022490628904,0.03567680133277801,94.28611411911703,0.8281578332944199
Raft_b100_tps200,Raft,100,200,submitEvidence,SUBMIT,1,orderer,4,0.8775000000000001,2.0,154.0,195.0,447.7,539.6,760.0,0.0,62.68929503916449,57.13256143273636,68.86024156601417,12.123281965847564,12005,0,191.5,0.0045822454308094,0.0183289817232376,987.3,0.08224073302790504,0.03729279466888796,0.04494793835901708,125.99280299875053,0.8296886582653816
Raft_b100_tps200,Raft,100,200,submitEvidence,SUBMIT,2,orderer,4,1.0975,2.15,155.5,194.0,446.7,540.1,760.0,0.0,66.1068281938326,54.057955851728444,65.360872969596,11.496543107038734,12005,0,181.6,0.006043502202643171,0.024174008810572686,986.8,0.08219908371511869,0.037209496043315284,0.044989587671803416,119.41882882132444,0.8270690612849472
Raft_b100_tps200,Raft,100,200,submitEvidence,SUBMIT,3,orderer,4,1.1025,2.25,155.75,198.0,446.7,539.8,760.0,0.0,65.38671023965142,54.653307788421486,66.0440016659725,11.623157017909204,12005,0,183.6,0.006004901960784314,0.024019607843137256,986.5,0.0821740941274469,0.037209496043315284,0.044964598084131606,120.69730945439399,0.827528714338644
Raft_b100_tps200,Raft,100,200,submitEvidence,SUBMIT,4,orderer,4,0.975,2.07,155.25,193.0,447.7,539.5,760.0,0.0,68.46197827329902,52.315169533990314,63.042291631869055,11.10105227993987,11974,0,174.9,0.005574614065180103,0.022298456260720412,987.2,0.08244529814598296,0.037389343577751796,0.045055954568231166,115.35746116585938,0.8298424467099166
Raft_b100_tps200,Raft,100,200,submitEvidence,SUBMIT,5,orderer,4,1.1524999999999999,2.24,156.5,191.0,446.8,540.5,760.0,0.0,68.34188034188034,52.30175087543772,63.270135067533765,11.12056028014007,11994,0,175.5,0.006566951566951566,0.026267806267806264,987.3,0.08231615807903951,0.03725195931298983,0.04506419876604969,115.57188594297148,0.8266419981498613
