consensus,batch,tps,k_fault,fault_family,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,orderer,10,1.7184332999999998,574.0,526.13,1056.0,60,76.53333333333333,70.15066666666667
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,peer,2,21.278499999999998,227.0,149.4,107.6,60,30.266666666666666,19.92
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,ca,3,0.002413666666666667,0.0046,0.0,0.0,60,0.0006133333333333334,0.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,chaincode,2,7.7734485,24.648,26.9475,0.0,60,3.2864,3.5930000000000004
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,couchdb,2,21.89431,20.4,25.22,43.8,60,2.7199999999999998,3.3626666666666667
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,orderer,10,1.8174482,572.2,524.6,1056.0,60,76.29333333333334,69.94666666666667
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,peer,2,19.5772415,227.0,149.3,107.6,60,30.266666666666666,19.90666666666667
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,1,ca,3,0.001954,0.0052,0.0,0.0,60,0.0006933333333333333,0.0
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,1,chaincode,2,7.4518965,41.083999999999996,30.31315,0.0,60,5.477866666666666,4.041753333333333
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,1,couchdb,2,20.354827999999998,36.044,14.684,53.93000000000001,60,4.805866666666666,1.9578666666666666
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,1,orderer,10,1.7432068,583.208,650.2120000000001,1085.584,60,77.76106666666666,86.69493333333335
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,1,peer,2,17.9793105,268.99199999999996,208.00900000000001,129.588,60,35.86559999999999,27.734533333333335
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,2,ca,3,0.0003446666666666667,0.0027,0.0,0.0,60,0.00036,0.0
Raft,100,100,2,highimpact-nested,submitEvidence,UNSPLIT,2,chaincode,2,8.6270685,40.986,30.31431,0.0,60,5.464799999999999,4.041908
