scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_ms
Raft_b300_tps200,1,SUBMIT,Raft,300,200,submitEvidence,submitEvidence,12004,0,200.0,3.71,0.71,1.85,192.7,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,1850.0
Raft_b300_tps200,2,SUBMIT,Raft,300,200,submitEvidence,submitEvidence,11981,0,199.5,3.75,0.71,2.1,191.1,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,2100.0
Raft_b300_tps200,3,SUBMIT,Raft,300,200,submitEvidence,submitEvidence,11972,0,199.3,4.61,0.76,2.36,192.1,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,2360.0
Raft_b300_tps200,4,SUBMIT,Raft,300,200,submitEvidence,submitEvidence,11968,0,199.4,5.52,0.75,2.58,192.1,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,2580.0
Raft_b300_tps200,5,SUBMIT,Raft,300,200,submitEvidence,submitEvidence,11996,0,199.9,7.22,1.0,3.59,189.9,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,3590.0
Raft_b300_tps200,1,RETRIEVE,Raft,300,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,12005,0,200.1,2.28,0.51,1.39,193.3,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,1390.0
Raft_b300_tps200,2,RETRIEVE,Raft,300,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,12003,0,200.0,2.51,0.52,1.43,193.2,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,1430.0
Raft_b300_tps200,3,RETRIEVE,Raft,300,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,12004,0,200.0,3.23,0.54,1.57,192.3,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,1570.0
Raft_b300_tps200,4,RETRIEVE,Raft,300,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11988,0,199.7,3.92,0.72,1.92,193.0,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,1920.0
Raft_b300_tps200,5,RETRIEVE,Raft,300,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,12001,0,199.9,6.37,0.97,2.84,190.7,Raft_b300_tps200_summary_metrics.csv,Raft_b300_tps200,2840.0
